symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
GFEX.si2605,2026-01-22 09:50:00.000000,8805.0,2026-01-23 09:15:00.000000,8810.0,8770.00,3,50.00,0.06%,初始止损 (前前绿柱堆间 K 线低点:8770.00)
GFEX.si2605,2026-02-02 10:05:00,8965.0,2026-02-02 13:35:00,8910.0,8760.00,2,-550.00,-0.61%,初始止损 (前前绿柱堆间 K 线低点:8760.00)
GFEX.si2605,2026-03-04 14:10:00,8475.0,2026-03-06 09:05:00,8535.0,8150.00,4,600.00,0.71%,初始止损 (前前绿柱堆间 K 线低点:8150.00)
INE.ec2604,2025-10-29 14:15:00.000000,1189.2,2025-10-30 10:55:00.000000,1172.7,1166.70,2,-825.00,-1.39%,初始止损 (前前绿柱堆间 K 线低点:1166.70)
INE.ec2604,2025-12-10 10:45:00.000000,1089.1,2025-12-15 09:20:00.000000,1116.6,1069.60,5,1375.00,2.53%,初始止损 (前前绿柱堆间 K 线低点:1069.60)
INE.ec2604,2025-12-24 14:20:00.000000,1166.6,2025-12-26 09:00:00.000000,1160.1,1160.10,1,-325.00,-0.56%,初始止损 (前前绿柱堆间 K 线低点:1160.10)
INE.ec2604,2026-01-05 14:40:00.000000,1195.0,2026-01-06 09:10:00.000000,1184.0,1184.00,1,-550.00,-0.92%,初始止损 (前前绿柱堆间 K 线低点:1184.00)
INE.ec2604,2026-01-15 09:10:00.000000,1246.5,2026-01-15 09:35:00.000000,1234.3,1167.70,2,-610.00,-0.98%,初始止损 (前前绿柱堆间 K 线低点:1167.70)
INE.ec2604,2026-01-28 10:00:00.000000,1229.2,2026-01-29 13:50:00.000000,1235.0,1170.00,3,290.00,0.47%,初始止损 (前前绿柱堆间 K 线低点:1170.00)
INE.ec2604,2026-02-03 11:20:00,1227.6,2026-02-04 09:05:00,1212.2,1153.00,2,-770.00,-1.25%,初始止损 (前前绿柱堆间 K 线低点:1153.00)
INE.ec2604,2026-02-12 11:15:00,1240.9,2026-02-13 11:25:00,1253.0,1189.00,3,605.00,0.98%,移动止损 (前前绿柱堆间 K 线低点:1253.00)
INE.lu2605,2025-11-26 11:15:00.000000,3037.0,2025-11-26 21:00:00.000000,3008.0,3008.00,1,-870.00,-0.95%,初始止损 (前前绿柱堆间 K 线低点:3008.00)
INE.lu2605,2025-12-05 14:15:00.000000,3035.0,2025-12-08 21:00:00.000000,3066.0,3021.00,5,930.00,1.02%,初始止损 (前前绿柱堆间 K 线低点:3021.00)
INE.lu2605,2025-12-19 21:35:00.000000,2934.0,2025-12-23 22:40:00.000000,2988.0,2906.00,5,1620.00,1.84%,初始止损 (前前绿柱堆间 K 线低点:2906.00)
INE.lu2605,2026-01-13 13:40:00.000000,3044.0,2026-01-14 14:40:00.000000,3083.0,2985.00,4,1170.00,1.28%,初始止损 (前前绿柱堆间 K 线低点:2985.00)
INE.lu2605,2026-01-23 22:40:00.000000,3177.0,2026-01-26 22:20:00.000000,3165.0,3082.00,4,-360.00,-0.38%,移动止损 (前前绿柱堆间 K 线低点:3165.00)
INE.lu2605,2026-02-25 22:00:00,3479.0,2026-02-25 22:45:00,3455.0,3455.00,1,-480.00,-0.69%,初始止损 (前前绿柱堆间 K 线低点:3455.00)
INE.lu2605,2026-02-27 21:05:00,3596.0,2026-03-04 21:05:00,4182.0,3473.00,7,11720.00,16.30%,初始止损 (前前绿柱堆间 K 线低点:3473.00)
INE.lu2605,2026-03-05 13:40:00,4571.0,2026-03-05 22:10:00,4495.0,4093.00,3,-1520.00,-1.66%,移动止损 (前前绿柱堆间 K 线低点:4495.00)
INE.lu2605,2026-03-06 21:10:00,4967.0,2026-03-10 09:05:00,5225.0,4313.00,3,5160.00,5.19%,初始止损 (前前绿柱堆间 K 线低点:4313.00)
INE.lu2605,2026-03-12 09:05:00,5719.0,2026-03-12 14:55:00,5551.0,5324.00,1,-1680.00,-2.94%,回测结束
SHFE.ao2605,2025-12-16 21:40:00.000000,2701.0,2025-12-16 22:05:00.000000,2692.0,2692.00,1,-180.00,-0.33%,初始止损 (前前绿柱堆间 K 线低点:2692.00)
SHFE.ao2605,2025-12-17 21:00:00.000000,2734.0,2025-12-18 21:00:00.000000,2702.0,2686.00,3,-640.00,-1.17%,初始止损 (前前绿柱堆间 K 线低点:2686.00)
SHFE.ao2605,2025-12-23 00:35:00.000000,2657.0,2025-12-23 11:25:00.000000,2654.0,2631.00,3,-60.00,-0.11%,移动止损 (前前绿柱堆间 K 线低点:2654.00)
SHFE.ao2605,2025-12-23 23:40:00.000000,2665.0,2025-12-23 23:50:00.000000,2662.0,2662.00,1,-60.00,-0.11%,初始止损 (前前绿柱堆间 K 线低点:2662.00)
SHFE.ao2605,2025-12-29 21:00:00.000000,2753.0,2025-12-29 21:05:00.000000,2760.0,2760.00,1,140.00,0.25%,初始止损 (前前绿柱堆间 K 线低点:2760.00)
SHFE.ao2605,2026-01-05 09:05:00.000000,2813.0,2026-01-06 09:15:00.000000,2774.0,2745.00,4,-780.00,-1.39%,移动止损 (前前绿柱堆间 K 线低点:2774.00)
SHFE.ao2605,2026-01-15 09:00:00.000000,2787.0,2026-01-15 09:25:00.000000,2780.0,2780.00,1,-140.00,-0.25%,初始止损 (前前绿柱堆间 K 线低点:2780.00)
SHFE.ao2605,2026-01-26 13:55:00.000000,2728.0,2026-01-26 14:00:00.000000,2730.0,2730.00,1,40.00,0.07%,初始止损 (前前绿柱堆间 K 线低点:2730.00)
